trial_id,participant_id,passage_id,domain,topic,source,disclosure_condition,trust_competence,trust_integrity,trust_benevolence,trust_overall,perceived_credibility,information_quality,fact_check_intention,source_guess_blind
T0023,AF0008,SCI_03,science,Nile Basin Water Stress,llm,blind,5.5,5.5,5.7,5.7,5.7,5.7,3.4,llm
T0024,AF0008,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,2.8,2.6,3.0,2.9,2.9,3.5,5.3,N/A
T0025,AF0009,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,6.5,5.5,5.5,5.6,5.1,5.5,2.2,N/A
T0026,AF0009,SCI_02,science,H3Africa Genomics Hypertension,human,blind,4.6,4.1,4.0,4.2,4.3,4.2,3.1,llm
T0027,AF0009,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,4.2,4.1,3.4,3.9,4.0,3.8,5.0,N/A
T0028,AF0010,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,4.4,4.4,4.1,4.4,4.5,4.7,5.0,N/A
T0029,AF0010,SCI_02,science,H3Africa Genomics Hypertension,llm,blind,4.7,4.2,4.6,4.7,5.2,4.3,2.5,human
T0030,AF0010,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,3.9,3.9,3.6,3.5,3.7,4.5,5.5,N/A
T0031,AF0011,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.6,3.6,3.8,3.8,4.3,4.0,5.0,N/A
T0032,AF0011,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,6.5,6.6,6.1,6.3,6.9,7.0,1.0,llm
T0033,AF0011,LEG_04,legal,South Africa Mining Charter,human,disclosed,5.9,5.5,5.8,5.7,6.0,5.4,2.1,N/A
T0034,AF0012,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,4.1,3.4,2.7,3.5,3.6,3.5,5.4,N/A
T0035,AF0012,SCI_03,science,Nile Basin Water Stress,llm,disclosed,2.9,3.0,2.4,2.6,2.5,3.1,4.8,N/A
T0036,AF0012,LEG_02,legal,Kenya Data Protection Enforcement,llm,blind,3.1,3.9,3.2,3.5,3.2,4.1,3.6,llm
T0037,AF0013,NEWS_04,news,East African Tech Startup Growth,human,blind,4.8,5.0,5.2,5.2,4.8,5.2,2.3,llm
T0038,AF0013,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,3.4,3.4,3.6,3.2,3.5,3.5,5.5,N/A
T0039,AF0013,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.6,5.2,4.9,4.9,5.2,5.4,3.7,N/A
T0040,AF0014,NEWS_03,news,Sahel Drought Food Security,llm,blind,3.9,3.8,3.5,3.6,3.9,4.0,4.3,human
T0041,AF0014,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.9,4.0,3.2,3.7,3.7,3.7,3.7,N/A
T0042,AF0014,LEG_01,legal,African Court Land Rights,llm,disclosed,3.2,2.8,2.9,2.7,2.8,3.1,5.8,N/A
T0043,AF0015,NEWS_03,news,Sahel Drought Food Security,human,disclosed,4.2,4.7,4.7,4.6,4.2,4.9,2.6,N/A
T0044,AF0015,SCI_03,science,Nile Basin Water Stress,human,disclosed,4.3,4.5,4.8,4.3,4.6,4.4,1.0,N/A
T0045,AF0015,LEG_04,legal,South Africa Mining Charter,human,blind,4.2,4.1,3.7,4.2,4.0,4.7,3.9,llm
T0046,AF0016,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,2.7,2.9,2.5,2.7,2.7,2.5,6.3,N/A
T0047,AF0016,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,3.0,2.5,3.2,2.9,2.5,3.7,5.2,N/A
T0048,AF0016,LEG_01,legal,African Court Land Rights,llm,blind,4.4,5.2,5.4,4.9,4.6,4.7,2.7,human
T0049,AF0017,NEWS_03,news,Sahel Drought Food Security,human,disclosed,3.5,3.8,3.9,4.1,4.3,4.5,3.9,N/A
T0050,AF0017,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,3.7,3.7,4.1,3.8,4.1,4.5,4.4,N/A
T0051,AF0017,LEG_02,legal,Kenya Data Protection Enforcement,human,blind,3.5,3.9,3.5,3.7,4.3,3.9,4.5,human
T0052,AF0018,NEWS_01,news,African Union Climate Summit,llm,disclosed,1.1,1.8,1.5,1.4,1.0,1.9,4.4,N/A
T0053,AF0018,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,5.1,5.1,4.8,4.6,4.9,4.4,3.9,N/A
T0054,AF0018,LEG_01,legal,African Court Land Rights,llm,blind,3.9,4.7,4.0,4.2,3.7,4.0,2.7,human
T0055,AF0019,NEWS_03,news,Sahel Drought Food Security,human,disclosed,6.1,5.6,5.6,5.8,6.0,6.1,1.5,N/A
T0056,AF0019,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,2.9,2.2,3.0,2.8,2.7,2.7,6.1,llm
T0057,AF0019,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,4.0,3.9,3.9,3.7,3.9,4.1,3.1,N/A
T0058,AF0020,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,1.8,1.7,2.1,1.7,1.5,1.4,7.0,N/A
T0059,AF0020,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,2.3,1.9,1.8,2.2,2.7,1.7,5.8,N/A
T0060,AF0020,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,3.1,3.1,2.8,3.2,3.0,3.9,3.6,human
T0061,AF0021,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,4.1,4.5,4.5,4.5,4.1,4.5,4.1,N/A
T0062,AF0021,SCI_03,science,Nile Basin Water Stress,human,blind,4.4,5.0,3.8,4.5,3.9,4.7,1.1,llm
T0063,AF0021,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,5.4,4.8,5.7,5.1,5.0,4.5,3.1,N/A
T0064,AF0022,NEWS_01,news,African Union Climate Summit,llm,disclosed,4.2,4.4,3.7,4.4,4.3,4.4,4.1,N/A
T0065,AF0022,SCI_03,science,Nile Basin Water Stress,llm,blind,4.8,4.7,4.3,4.7,5.1,5.1,1.0,llm
T0066,AF0022,LEG_01,legal,African Court Land Rights,llm,disclosed,1.9,1.9,1.0,1.5,1.0,2.3,6.1,N/A
T0067,AF0023,NEWS_01,news,African Union Climate Summit,human,disclosed,6.1,5.6,6.0,5.7,5.6,5.6,1.7,N/A
T0068,AF0023,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,5.1,4.9,4.8,5.0,5.6,5.2,2.3,human
T0069,AF0023,LEG_04,legal,South Africa Mining Charter,human,disclosed,3.8,3.8,3.2,3.4,3.5,3.6,3.6,N/A
T0070,AF0024,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,3.3,3.6,2.9,3.1,3.5,2.8,5.5,N/A
T0071,AF0024,SCI_04,science,Off-Grid Solar Africa,llm,blind,5.2,4.2,4.6,4.7,4.8,5.5,3.1,human
T0072,AF0024,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,3.6,3.6,4.0,3.7,3.7,4.3,4.5,N/A
T0073,AF0025,NEWS_04,news,East African Tech Startup Growth,human,disclosed,3.5,3.2,3.6,3.3,3.6,3.3,4.2,N/A
T0074,AF0025,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,5.9,5.5,5.6,5.6,5.6,6.5,2.9,human
T0075,AF0025,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.3,4.3,3.8,4.2,4.3,4.9,3.7,N/A
T0076,AF0026,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,1.5,1.8,1.7,1.9,1.6,2.0,6.3,N/A
T0077,AF0026,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.3,3.3,3.0,3.3,3.1,2.9,4.2,N/A
T0078,AF0026,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,3.7,3.8,4.1,3.8,4.1,3.3,3.6,human
T0079,AF0027,NEWS_01,news,African Union Climate Summit,human,disclosed,5.5,5.7,5.2,5.4,6.0,5.6,2.0,N/A
T0080,AF0027,SCI_04,science,Off-Grid Solar Africa,human,disclosed,5.0,5.1,5.4,5.3,5.0,5.5,2.5,N/A
T0081,AF0027,LEG_03,legal,ICC African Union Jurisdiction,human,blind,3.5,3.3,4.0,3.7,4.0,3.6,2.9,llm
T0082,AF0028,NEWS_01,news,African Union Climate Summit,llm,disclosed,4.2,4.6,4.7,5.0,5.2,6.0,2.8,N/A
T0083,AF0028,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,2.4,2.3,2.4,2.3,1.9,2.2,5.9,N/A
T0084,AF0028,LEG_01,legal,African Court Land Rights,llm,blind,5.0,4.9,4.4,4.7,4.6,4.6,2.5,human
T0085,AF0029,NEWS_03,news,Sahel Drought Food Security,human,blind,5.2,4.7,4.8,4.6,4.8,4.7,2.0,human
T0086,AF0029,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,4.3,4.2,4.1,4.2,4.1,4.6,2.1,N/A
T0087,AF0029,LEG_02,legal,Kenya Data Protection Enforcement,human,disclosed,4.6,5.1,4.2,4.6,4.9,4.2,1.7,N/A
T0088,AF0030,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,4.1,4.1,4.1,4.2,4.2,4.8,3.6,N/A
T0089,AF0030,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,3.2,3.0,2.4,2.9,3.6,3.5,5.5,N/A
T0090,AF0030,LEG_01,legal,African Court Land Rights,llm,blind,4.3,4.2,4.2,4.3,4.5,3.9,5.2,llm
T0091,AF0031,NEWS_03,news,Sahel Drought Food Security,human,disclosed,5.5,5.3,4.6,5.4,5.3,5.4,2.7,N/A
T0092,AF0031,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,4.3,3.9,4.2,4.1,4.2,4.3,4.3,N/A
T0093,AF0031,LEG_01,legal,African Court Land Rights,human,blind,5.7,5.1,5.8,5.2,5.4,5.3,1.2,llm
T0094,AF0032,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,2.8,3.0,2.2,2.6,2.9,1.9,6.3,N/A
T0095,AF0032,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,blind,6.2,5.4,6.0,5.8,5.8,6.0,2.1,human
T0096,AF0032,LEG_01,legal,African Court Land Rights,llm,disclosed,2.9,2.7,2.6,2.8,2.6,3.4,5.5,N/A
T0097,AF0033,NEWS_03,news,Sahel Drought Food Security,human,blind,4.3,4.1,4.6,4.5,4.5,4.6,3.5,human
T0098,AF0033,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,4.0,4.0,3.4,3.9,4.6,3.8,2.8,N/A
T0099,AF0033,LEG_01,legal,African Court Land Rights,human,disclosed,3.6,4.4,4.0,4.2,4.3,4.1,4.2,N/A
T0100,AF0034,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,3.3,3.5,3.2,3.3,2.9,4.0,5.5,N/A
T0101,AF0034,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.0,2.9,2.4,2.7,2.7,3.0,5.2,N/A
T0102,AF0034,LEG_01,legal,African Court Land Rights,llm,blind,2.3,2.8,2.8,2.6,2.4,3.3,4.4,llm
T0103,AF0035,NEWS_01,news,African Union Climate Summit,human,disclosed,3.8,3.3,3.0,3.6,3.7,4.3,4.5,N/A
T0104,AF0035,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,4.6,4.4,4.8,5.0,5.2,5.4,3.5,N/A
T0105,AF0035,LEG_04,legal,South Africa Mining Charter,human,blind,3.6,3.4,3.3,3.8,3.8,4.0,2.5,llm
T0106,AF0036,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,3.7,3.1,3.0,3.2,3.0,3.3,4.3,N/A
T0107,AF0036,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,3.5,2.4,3.0,3.0,3.0,3.1,4.5,N/A
T0108,AF0036,LEG_01,legal,African Court Land Rights,llm,blind,4.9,4.4,4.3,4.7,4.6,5.0,2.3,human
T0109,AF0037,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.3,3.8,4.7,4.4,4.5,4.4,2.7,N/A
T0110,AF0037,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,6.4,6.1,6.5,6.3,6.3,6.2,1.0,human
T0111,AF0037,LEG_04,legal,South Africa Mining Charter,human,disclosed,5.6,6.2,5.2,5.9,6.3,6.7,1.2,N/A
T0112,AF0038,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,6.0,5.2,5.5,5.5,5.4,5.9,2.0,N/A
T0113,AF0038,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.9,3.0,3.5,3.2,2.8,3.8,4.5,N/A
T0114,AF0038,LEG_01,legal,African Court Land Rights,llm,blind,3.9,4.6,4.0,3.9,3.7,4.2,2.7,human
T0115,AF0039,NEWS_03,news,Sahel Drought Food Security,human,blind,4.6,3.9,4.3,4.3,4.6,4.1,3.1,human
T0116,AF0039,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,4.9,5.1,4.9,5.3,5.1,5.7,2.5,N/A
T0117,AF0039,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,5.7,5.4,5.2,5.2,5.8,5.5,3.1,N/A
T0118,AF0040,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,2.2,2.1,2.4,2.0,1.8,2.1,6.3,N/A
T0119,AF0040,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,3.4,2.4,2.8,2.7,2.7,2.7,5.8,N/A
T0120,AF0040,LEG_02,legal,Kenya Data Protection Enforcement,llm,blind,2.9,3.5,2.4,3.0,3.3,2.8,5.9,human
T0121,AF0041,NEWS_01,news,African Union Climate Summit,human,disclosed,5.6,5.0,5.2,5.1,4.7,5.4,3.4,N/A
T0122,AF0041,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,4.5,4.8,4.2,4.6,4.7,5.0,1.0,human
T0123,AF0041,LEG_04,legal,South Africa Mining Charter,human,disclosed,3.8,3.8,4.1,3.9,4.1,4.0,4.3,N/A
T0124,AF0042,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,4.0,3.3,3.2,3.9,4.5,4.1,3.6,N/A
T0125,AF0042,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,3.5,2.3,2.3,2.9,3.0,2.7,5.1,N/A
T0126,AF0042,LEG_02,legal,Kenya Data Protection Enforcement,llm,blind,4.2,4.3,3.8,4.5,4.4,4.8,3.4,human
T0127,AF0043,NEWS_01,news,African Union Climate Summit,human,blind,4.7,4.6,4.5,4.5,4.2,4.1,3.6,llm
T0128,AF0043,SCI_04,science,Off-Grid Solar Africa,human,disclosed,4.0,3.5,3.3,3.6,3.4,3.8,4.0,N/A
T0129,AF0043,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,6.2,5.9,5.6,5.9,6.2,6.0,1.9,N/A
T0130,AF0044,NEWS_02,news,AfCFTA Trade Progress,llm,blind,6.2,6.5,6.0,6.2,6.1,6.7,1.4,llm
T0131,AF0044,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,3.3,3.6,3.3,3.4,3.3,3.3,5.7,N/A
T0132,AF0044,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,3.5,3.7,3.7,3.8,4.3,3.6,4.3,N/A
T0133,AF0045,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,3.7,3.4,3.9,3.5,3.7,3.7,4.8,N/A
T0134,AF0045,SCI_03,science,Nile Basin Water Stress,human,blind,5.7,5.4,5.1,5.7,5.7,5.7,1.6,human
T0135,AF0045,LEG_02,legal,Kenya Data Protection Enforcement,human,disclosed,6.2,6.4,6.3,6.3,6.4,6.6,1.9,N/A
T0136,AF0046,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,4.3,3.9,4.1,4.1,4.0,4.1,3.5,N/A
T0137,AF0046,SCI_02,science,H3Africa Genomics Hypertension,llm,blind,3.5,4.1,3.8,3.7,3.3,3.9,3.5,llm
T0138,AF0046,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,4.0,3.4,3.7,3.7,3.8,3.8,3.8,N/A
T0139,AF0047,NEWS_04,news,East African Tech Startup Growth,human,blind,2.7,2.5,2.3,2.9,3.0,3.2,4.6,llm
T0140,AF0047,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,4.1,3.9,4.0,4.1,4.2,3.6,3.1,N/A
T0141,AF0047,LEG_01,legal,African Court Land Rights,human,disclosed,4.7,4.2,4.1,4.2,4.4,4.8,3.6,N/A
T0142,AF0048,NEWS_04,news,East African Tech Startup Growth,llm,blind,4.5,4.3,4.2,4.3,4.2,4.0,4.2,llm
T0143,AF0048,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.9,3.9,3.6,3.7,4.0,3.6,5.3,N/A
T0144,AF0048,LEG_01,legal,African Court Land Rights,llm,disclosed,3.6,3.6,3.7,3.8,3.6,3.7,3.8,N/A
T0145,AF0049,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,4.5,4.2,3.5,4.3,4.4,4.3,5.4,N/A
T0146,AF0049,SCI_03,science,Nile Basin Water Stress,human,blind,4.4,4.6,4.6,4.1,3.9,4.1,3.8,human
T0147,AF0049,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.9,5.0,5.1,5.0,5.0,5.0,2.6,N/A
T0148,AF0050,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,2.6,2.6,2.3,2.6,2.6,2.6,5.7,N/A
T0149,AF0050,SCI_03,science,Nile Basin Water Stress,llm,disclosed,2.5,1.5,2.2,2.2,2.3,1.8,5.9,N/A
T0150,AF0050,LEG_02,legal,Kenya Data Protection Enforcement,llm,blind,3.3,3.1,3.0,2.6,2.5,3.0,6.1,llm
T0151,AF0051,NEWS_02,news,AfCFTA Trade Progress,human,blind,5.0,4.3,4.9,4.8,4.8,5.3,2.4,llm
T0152,AF0051,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,4.4,4.6,4.5,4.3,4.2,5.0,3.6,N/A
T0153,AF0051,LEG_01,legal,African Court Land Rights,human,disclosed,5.1,4.4,4.8,5.0,5.1,4.1,3.9,N/A
T0154,AF0052,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,3.5,3.1,3.5,3.4,3.4,3.5,4.1,N/A
T0155,AF0052,SCI_03,science,Nile Basin Water Stress,llm,blind,6.0,5.8,5.5,5.6,5.6,6.2,1.3,llm
T0156,AF0052,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,2.6,2.9,1.9,2.4,2.7,2.8,5.0,N/A
T0157,AF0053,NEWS_02,news,AfCFTA Trade Progress,human,blind,4.6,4.7,4.2,4.5,4.8,4.3,4.7,llm
T0158,AF0053,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,5.3,5.2,5.3,5.6,5.4,6.1,2.1,N/A
T0159,AF0053,LEG_01,legal,African Court Land Rights,human,disclosed,5.4,5.0,4.0,5.1,4.7,4.3,2.4,N/A
T0160,AF0054,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,4.0,4.0,3.6,4.0,4.1,4.0,3.6,N/A
T0161,AF0054,SCI_03,science,Nile Basin Water Stress,llm,disclosed,2.3,1.9,2.7,2.4,2.9,2.8,4.2,N/A
T0162,AF0054,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,3.5,4.1,3.8,3.8,4.3,4.0,3.7,llm
T0163,AF0055,NEWS_03,news,Sahel Drought Food Security,human,disclosed,4.2,4.0,3.8,3.7,3.8,3.9,3.8,N/A
T0164,AF0055,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,4.1,4.3,4.2,4.0,4.1,4.6,5.7,N/A
T0165,AF0055,LEG_04,legal,South Africa Mining Charter,human,blind,4.7,4.4,5.0,4.6,4.5,4.4,2.6,llm
T0166,AF0056,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,2.9,2.8,3.4,3.1,2.9,2.6,4.3,N/A
T0167,AF0056,SCI_03,science,Nile Basin Water Stress,llm,blind,4.3,3.6,3.6,3.8,3.2,4.0,4.3,human
T0168,AF0056,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,2.8,3.3,2.4,2.5,2.6,2.5,4.8,N/A
T0169,AF0057,NEWS_01,news,African Union Climate Summit,human,blind,4.7,4.0,4.3,4.2,4.5,4.4,4.2,llm
T0170,AF0057,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,4.8,4.3,3.8,4.6,4.7,4.5,2.9,N/A
T0171,AF0057,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,5.7,5.2,4.8,5.2,5.5,5.6,3.3,N/A
T0172,AF0058,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,2.2,2.0,2.1,1.9,2.1,2.0,6.3,N/A
T0173,AF0058,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,2.5,2.1,2.4,2.4,2.5,2.8,4.7,N/A
T0174,AF0058,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,3.7,3.4,3.2,3.6,3.9,4.1,4.9,llm
T0175,AF0059,NEWS_03,news,Sahel Drought Food Security,human,disclosed,4.8,4.0,4.9,4.5,4.9,4.8,4.2,N/A
T0176,AF0059,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,5.6,5.0,4.9,5.2,4.6,5.8,1.0,N/A
T0177,AF0059,LEG_04,legal,South Africa Mining Charter,human,blind,4.6,4.5,4.5,4.7,4.3,5.0,5.1,llm
T0178,AF0060,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,1.6,1.0,1.0,1.1,1.3,1.5,6.7,N/A
T0179,AF0060,SCI_04,science,Off-Grid Solar Africa,llm,blind,4.9,5.1,4.9,5.0,5.2,5.7,3.2,llm
T0180,AF0060,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,2.7,2.2,2.4,2.6,1.9,2.4,4.0,N/A
T0181,AF0061,NEWS_02,news,AfCFTA Trade Progress,human,blind,5.2,4.4,5.3,5.0,5.2,5.7,3.6,human
T0182,AF0061,SCI_03,science,Nile Basin Water Stress,human,disclosed,4.8,4.5,5.0,4.5,5.1,4.7,2.0,N/A
T0183,AF0061,LEG_01,legal,African Court Land Rights,human,disclosed,4.2,5.0,3.5,4.3,4.3,4.3,3.5,N/A
T0184,AF0062,NEWS_01,news,African Union Climate Summit,llm,disclosed,4.0,3.3,4.7,4.0,3.8,4.3,4.4,N/A
T0185,AF0062,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.4,3.4,3.4,3.2,3.2,3.4,4.8,N/A
T0186,AF0062,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,3.6,3.6,3.4,3.6,3.8,3.8,5.2,llm
T0187,AF0063,NEWS_01,news,African Union Climate Summit,human,blind,4.3,4.2,3.8,4.1,4.8,4.0,2.5,human
T0188,AF0063,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,3.8,2.9,2.7,3.3,3.5,3.9,5.3,N/A
T0189,AF0063,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,4.6,4.6,4.7,4.5,4.8,5.0,2.1,N/A
T0190,AF0064,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,4.6,4.9,4.7,4.9,4.9,4.0,3.5,N/A
T0191,AF0064,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,3.4,3.3,3.3,3.6,4.1,4.0,3.6,N/A
T0192,AF0064,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,6.1,5.1,5.2,5.9,5.6,5.8,2.6,human
T0193,AF0065,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.9,5.2,5.4,5.2,5.6,5.0,3.2,N/A
T0194,AF0065,SCI_03,science,Nile Basin Water Stress,human,disclosed,4.8,4.8,4.8,5.1,5.6,5.0,2.5,N/A
T0195,AF0065,LEG_01,legal,African Court Land Rights,human,blind,4.4,4.3,4.3,4.3,5.0,4.6,3.0,llm
T0196,AF0066,NEWS_01,news,African Union Climate Summit,llm,disclosed,2.0,1.8,1.6,1.8,1.7,1.8,6.5,N/A
T0197,AF0066,SCI_04,science,Off-Grid Solar Africa,llm,blind,4.7,4.3,3.8,4.4,4.6,4.4,4.4,llm
