participant_id,country,region,age,gender,education,occupation,primary_language,urban_rural,internet_access,news_consumption_platform,ai_use_frequency,ai_literacy_score,source_condition
AF0052,Tanzania,East Africa,39,Man,Master's degree,Business/Finance,English,Peri-urban,Mobile data (2G/3G),Radio,Never,3.5,llm
AF0053,Nigeria,West Africa,28,Woman,Less than secondary school,Government/Civil service,Hausa,Urban,Mobile data (4G),Online news site,Sometimes (monthly),3.25,human
AF0054,Ghana,West Africa,26,Man,Secondary school certificate,Student,Ewe,Urban,Broadband/WiFi,Radio,Sometimes (monthly),2.75,llm
AF0055,Ethiopia,East Africa,37,Woman,Secondary school certificate,Farmer/Agriculture,Somali,Urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),2.75,human
AF0056,Ethiopia,East Africa,27,Woman,Master's degree,Farmer/Agriculture,Tigrinya,Rural,Mobile data (4G),Radio,Often (weekly),2.75,llm
AF0057,Kenya,East Africa,36,Man,Bachelor's degree,Farmer/Agriculture,Swahili,Urban,Mobile data (2G/3G),WhatsApp/Social media,Daily,4.5,human
AF0058,South Africa,Southern Africa,18,Man,Less than secondary school,Farmer/Agriculture,Tswana,Peri-urban,Mobile data (2G/3G),Television,Rarely (a few times a year),2.5,llm
AF0059,Ethiopia,East Africa,24,Woman,Less than secondary school,Farmer/Agriculture,Amharic,Urban,Mobile data (4G),Radio,Rarely (a few times a year),2.25,human
AF0060,Zambia,Southern Africa,43,Man,Some university/college,Farmer/Agriculture,Nyanja,Peri-urban,Broadband/WiFi,Online news site,Daily,2.25,llm
AF0061,South Africa,Southern Africa,19,Woman,Bachelor's degree,Teacher/Educator,English,Urban,Mobile data (4G),Radio,Never,2.0,human
AF0062,Ethiopia,East Africa,24,Woman,Bachelor's degree,Informal sector/Trader,Oromo,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),3.0,llm
AF0063,South Africa,Southern Africa,18,Man,Secondary school certificate,Teacher/Educator,Afrikaans,Peri-urban,Mobile data (4G),Television,Never,4.25,human
AF0064,South Africa,Southern Africa,28,Man,Bachelor's degree,Student,Zulu,Urban,Mobile data (2G/3G),Online news site,Often (weekly),3.75,llm
AF0065,Kenya,East Africa,36,Woman,Master's degree,Government/Civil service,Swahili,Urban,Mobile data (4G),Radio,Daily,2.75,human
AF0066,Zambia,Southern Africa,32,Woman,Bachelor's degree,Informal sector/Trader,English,Peri-urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.75,llm
AF0067,South Africa,Southern Africa,24,Woman,Master's degree,Unemployed/Seeking work,Sotho,Rural,Mobile data (4G),Television,Daily,2.5,human
AF0068,Tanzania,East Africa,26,Woman,Secondary school certificate,Self-employed/Entrepreneur,Sukuma,Urban,Broadband/WiFi,Television,Rarely (a few times a year),4.5,llm
AF0069,South Africa,Southern Africa,19,Woman,Secondary school certificate,Self-employed/Entrepreneur,Afrikaans,Rural,Mobile data (4G),Social media,Never,2.75,human
AF0070,Kenya,East Africa,26,Man,Bachelor's degree,Student,Swahili,Urban,Broadband/WiFi,Online news site,Never,3.25,llm
AF0071,Ethiopia,East Africa,26,Woman,Master's degree,Farmer/Agriculture,Amharic,Rural,No regular internet,WhatsApp/Social media,Rarely (a few times a year),3.5,human
AF0072,Ethiopia,East Africa,18,Woman,Secondary school certificate,Farmer/Agriculture,English,Rural,Mobile data (2G/3G),Radio,Often (weekly),2.75,llm
AF0073,Kenya,East Africa,18,Man,Some university/college,Student,Swahili,Peri-urban,Mobile data (4G),Television,Often (weekly),3.0,human
AF0074,Zimbabwe,Southern Africa,37,Man,Bachelor's degree,Teacher/Educator,Shona,Rural,Mobile data (2G/3G),Online news site,Often (weekly),3.5,llm
AF0075,Tanzania,East Africa,28,Man,Master's degree,Informal sector/Trader,Swahili,Rural,Broadband/WiFi,WhatsApp/Social media,Rarely (a few times a year),3.5,human
AF0076,Tanzania,East Africa,32,Woman,Master's degree,Business/Finance,Haya,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),3.25,llm
AF0077,South Africa,Southern Africa,38,Man,Secondary school certificate,NGO/Non-profit,Tswana,Urban,No regular internet,Social media,Never,4.0,human
AF0078,Ghana,West Africa,28,Non-binary,Master's degree,Healthcare worker,Twi (Akan),Rural,Mobile data (2G/3G),Radio,Rarely (a few times a year),2.75,llm
AF0079,Uganda,East Africa,24,Man,Bachelor's degree,Self-employed/Entrepreneur,Swahili,Peri-urban,Mobile data (4G),Radio,Sometimes (monthly),3.5,human
AF0080,Ghana,West Africa,24,Man,Bachelor's degree,Self-employed/Entrepreneur,Twi (Akan),Urban,Broadband/WiFi,Online news site,Never,3.25,llm
AF0081,South Africa,Southern Africa,26,Woman,Bachelor's degree,Business/Finance,English,Urban,Mobile data (4G),Television,Often (weekly),2.0,human
AF0082,Ethiopia,East Africa,33,Woman,Bachelor's degree,Self-employed/Entrepreneur,Tigrinya,Rural,Mobile data (4G),Television,Daily,4.0,llm
AF0083,Nigeria,West Africa,29,Woman,Bachelor's degree,Government/Civil service,Igbo,Peri-urban,Mobile data (4G),Radio,Sometimes (monthly),4.5,human
AF0084,Zambia,Southern Africa,23,Man,Less than secondary school,Informal sector/Trader,Bemba,Rural,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),2.75,llm
AF0085,Kenya,East Africa,36,Woman,Less than secondary school,Informal sector/Trader,Kikuyu,Rural,Mobile data (2G/3G),Radio,Sometimes (monthly),3.0,human
AF0086,South Africa,Southern Africa,31,Man,Master's degree,NGO/Non-profit,English,Urban,Mobile data (4G),Social media,Sometimes (monthly),3.25,llm
AF0087,Ethiopia,East Africa,35,Man,Secondary school certificate,Farmer/Agriculture,Somali,Rural,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.0,human
AF0088,South Africa,Southern Africa,41,Woman,Doctoral/professional degree,Government/Civil service,Sotho,Urban,Broadband/WiFi,Television,Sometimes (monthly),3.25,llm
AF0089,Ghana,West Africa,28,Woman,Secondary school certificate,Student,English,Peri-urban,Mobile data (4G),Radio,Rarely (a few times a year),3.5,human
AF0090,Cameroon,Central Africa,18,Woman,Some university/college,Farmer/Agriculture,English,Urban,Mobile data (4G),Radio,Often (weekly),2.25,llm
AF0091,Kenya,East Africa,18,Woman,Some university/college,Student,Swahili,Urban,Broadband/WiFi,WhatsApp/Social media,Rarely (a few times a year),2.75,human
AF0092,Kenya,East Africa,37,Man,Less than secondary school,Farmer/Agriculture,Kamba,Peri-urban,Broadband/WiFi,WhatsApp/Social media,Sometimes (monthly),2.75,llm
AF0093,Ethiopia,East Africa,24,Man,Less than secondary school,Business/Finance,Somali,Rural,Mobile data (2G/3G),Radio,Daily,2.5,human
AF0094,South Africa,Southern Africa,32,Man,Doctoral/professional degree,Healthcare worker,Afrikaans,Urban,Mobile data (4G),Social media,Sometimes (monthly),3.0,llm
AF0095,Kenya,East Africa,18,Woman,Some university/college,Farmer/Agriculture,Kikuyu,Peri-urban,Broadband/WiFi,Online news site,Daily,3.75,human
AF0096,Zimbabwe,Southern Africa,27,Man,Master's degree,Business/Finance,Shona,Urban,Mobile data (2G/3G),Television,Rarely (a few times a year),2.25,llm
AF0097,Uganda,East Africa,43,Man,Secondary school certificate,Teacher/Educator,Runyankole,Peri-urban,No regular internet,Radio,Often (weekly),2.75,human
AF0098,Tanzania,East Africa,26,Man,Some university/college,Farmer/Agriculture,Swahili,Urban,Mobile data (2G/3G),Radio,Never,3.25,llm
AF0099,Nigeria,West Africa,30,Man,Some university/college,Engineer/Technology,Yoruba,Peri-urban,Mobile data (2G/3G),Online news site,Often (weekly),4.0,human
AF0100,Nigeria,West Africa,18,Man,Some university/college,Government/Civil service,Yoruba,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),2.75,llm
AF0101,Kenya,East Africa,38,Woman,Bachelor's degree,Healthcare worker,Swahili,Rural,Mobile data (2G/3G),Online news site,Never,2.25,human
AF0102,Rwanda,East Africa,27,Man,Master's degree,Business/Finance,English,Peri-urban,Mobile data (2G/3G),Radio,Never,4.0,llm
AF0103,Cameroon,Central Africa,27,Woman,Master's degree,Farmer/Agriculture,French,Peri-urban,No regular internet,Radio,Sometimes (monthly),2.25,human
AF0104,Kenya,East Africa,38,Man,Secondary school certificate,Government/Civil service,Swahili,Rural,Mobile data (4G),Online news site,Rarely (a few times a year),3.75,llm
AF0105,Senegal,West Africa,28,Man,Bachelor's degree,Healthcare worker,Pulaar,Peri-urban,Mobile data (4G),Radio,Sometimes (monthly),3.5,human
AF0106,Zambia,Southern Africa,20,Woman,Less than secondary school,Business/Finance,Nyanja,Rural,Broadband/WiFi,Radio,Sometimes (monthly),2.75,llm
AF0107,Zambia,Southern Africa,22,Woman,Some university/college,Government/Civil service,Nyanja,Rural,Mobile data (4G),Radio,Often (weekly),2.25,human
AF0108,Ghana,West Africa,20,Man,Bachelor's degree,Government/Civil service,Twi (Akan),Rural,Broadband/WiFi,Online news site,Rarely (a few times a year),3.75,llm
AF0109,Kenya,East Africa,23,Woman,Secondary school certificate,Student,English,Rural,Mobile data (4G),Television,Daily,3.0,human
AF0110,Senegal,West Africa,40,Woman,Secondary school certificate,Self-employed/Entrepreneur,Wolof,Urban,No regular internet,Radio,Rarely (a few times a year),2.5,llm
AF0111,Nigeria,West Africa,40,Man,Master's degree,Business/Finance,Hausa,Rural,Mobile data (4G),Radio,Sometimes (monthly),2.75,human
AF0112,Ghana,West Africa,28,Woman,Doctoral/professional degree,Healthcare worker,Ga,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),4.25,llm
AF0113,Uganda,East Africa,18,Man,Secondary school certificate,Student,English,Urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),3.0,human
AF0114,South Africa,Southern Africa,40,Man,Master's degree,Student,English,Urban,Broadband/WiFi,Social media,Often (weekly),2.5,llm
AF0115,Ethiopia,East Africa,25,Woman,Secondary school certificate,Student,English,Rural,Mobile data (2G/3G),Online news site,Rarely (a few times a year),3.0,human
AF0116,Ghana,West Africa,23,Woman,Master's degree,Government/Civil service,Ewe,Peri-urban,Mobile data (2G/3G),Television,Daily,3.0,llm
AF0117,Ethiopia,East Africa,28,Woman,Bachelor's degree,Informal sector/Trader,Somali,Rural,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),2.75,human
AF0118,Nigeria,West Africa,30,Man,Master's degree,Teacher/Educator,Igbo,Urban,Mobile data (4G),WhatsApp/Social media,Never,5.0,llm
AF0119,South Africa,Southern Africa,21,Woman,Some university/college,Farmer/Agriculture,English,Urban,Broadband/WiFi,Radio,Sometimes (monthly),3.25,human
AF0120,Nigeria,West Africa,32,Woman,Doctoral/professional degree,Business/Finance,Hausa,Urban,Mobile data (2G/3G),Online news site,Often (weekly),3.25,llm
AF0121,Kenya,East Africa,29,Man,Bachelor's degree,Self-employed/Entrepreneur,Kamba,Peri-urban,Broadband/WiFi,Radio,Sometimes (monthly),3.5,human
AF0122,Tanzania,East Africa,25,Man,Secondary school certificate,Self-employed/Entrepreneur,Swahili,Urban,Mobile data (2G/3G),WhatsApp/Social media,Daily,1.75,llm
AF0123,South Africa,Southern Africa,18,Woman,Some university/college,Healthcare worker,English,Urban,Mobile data (2G/3G),Social media,Sometimes (monthly),2.0,human
AF0124,Nigeria,West Africa,21,Man,Some university/college,Business/Finance,Igbo,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),3.5,llm
AF0125,Uganda,East Africa,24,Woman,Less than secondary school,Farmer/Agriculture,Runyankole,Peri-urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.75,human
AF0126,Rwanda,East Africa,31,Woman,Bachelor's degree,Informal sector/Trader,Kinyarwanda,Peri-urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),4.0,llm
AF0127,Ghana,West Africa,36,Woman,Bachelor's degree,Government/Civil service,Twi (Akan),Urban,Broadband/WiFi,Radio,Rarely (a few times a year),4.0,human
AF0128,Rwanda,East Africa,20,Woman,Some university/college,Healthcare worker,Kinyarwanda,Peri-urban,Mobile data (4G),Radio,Never,2.75,llm
AF0129,Nigeria,West Africa,43,Woman,Bachelor's degree,Engineer/Technology,English,Urban,Mobile data (4G),Radio,Never,3.0,human
AF0130,Tanzania,East Africa,33,Man,Bachelor's degree,Healthcare worker,Swahili,Urban,Mobile data (4G),Online news site,Rarely (a few times a year),3.75,llm
AF0131,Nigeria,West Africa,18,Woman,Some university/college,Unemployed/Seeking work,Hausa,Rural,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),3.75,human
AF0132,Kenya,East Africa,31,Man,Master's degree,Informal sector/Trader,Swahili,Urban,Mobile data (4G),WhatsApp/Social media,Daily,4.25,llm
AF0133,South Africa,Southern Africa,29,Man,Bachelor's degree,Healthcare worker,Afrikaans,Urban,Mobile data (4G),Television,Rarely (a few times a year),3.5,human
AF0134,Ghana,West Africa,33,Man,Doctoral/professional degree,Teacher/Educator,Ewe,Urban,Mobile data (4G),Radio,Often (weekly),2.75,llm
AF0135,South Africa,Southern Africa,31,Man,Bachelor's degree,Business/Finance,Xhosa,Peri-urban,Broadband/WiFi,Social media,Rarely (a few times a year),3.0,human
AF0136,Nigeria,West Africa,24,Woman,Some university/college,Self-employed/Entrepreneur,English,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.5,llm
AF0137,Zambia,Southern Africa,33,Man,Master's degree,Business/Finance,English,Urban,No regular internet,WhatsApp/Social media,Often (weekly),2.75,human
AF0138,Nigeria,West Africa,29,Man,Bachelor's degree,Student,Hausa,Peri-urban,Broadband/WiFi,Television,Rarely (a few times a year),4.0,llm
AF0139,Ghana,West Africa,28,Woman,Bachelor's degree,Self-employed/Entrepreneur,Twi (Akan),Rural,Mobile data (4G),Radio,Sometimes (monthly),2.75,human
AF0140,Zimbabwe,Southern Africa,36,Woman,Secondary school certificate,Unemployed/Seeking work,Ndebele,Urban,No regular internet,Radio,Sometimes (monthly),4.5,llm
AF0141,Rwanda,East Africa,25,Woman,Bachelor's degree,Business/Finance,Kinyarwanda,Urban,Mobile data (4G),Newspaper (print),Daily,4.75,human
AF0142,South Africa,Southern Africa,20,Woman,Some university/college,Unemployed/Seeking work,Xhosa,Peri-urban,Broadband/WiFi,Television,Sometimes (monthly),4.0,llm
AF0143,Cameroon,Central Africa,31,Woman,Bachelor's degree,Farmer/Agriculture,French,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),3.5,human
AF0144,Kenya,East Africa,38,Man,Less than secondary school,Informal sector/Trader,Swahili,Rural,Broadband/WiFi,WhatsApp/Social media,Often (weekly),1.0,llm
AF0145,Uganda,East Africa,32,Woman,Secondary school certificate,Teacher/Educator,Runyankole,Peri-urban,Mobile data (4G),Radio,Rarely (a few times a year),3.5,human
AF0146,South Africa,Southern Africa,32,Man,Master's degree,Government/Civil service,English,Rural,Broadband/WiFi,Social media,Daily,3.25,llm
AF0147,Zimbabwe,Southern Africa,22,Man,Bachelor's degree,Healthcare worker,Shona,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),2.25,human
AF0148,Zimbabwe,Southern Africa,26,Man,Bachelor's degree,Student,English,Urban,Mobile data (2G/3G),Television,Sometimes (monthly),3.5,llm
AF0149,South Africa,Southern Africa,30,Man,Bachelor's degree,Engineer/Technology,Zulu,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),2.75,human
AF0150,South Africa,Southern Africa,32,Prefer not to say,Bachelor's degree,Unemployed/Seeking work,Afrikaans,Urban,Broadband/WiFi,Online news site,Often (weekly),1.75,llm
AF0151,Kenya,East Africa,28,Man,Bachelor's degree,Farmer/Agriculture,English,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),2.5,human
AF0152,Nigeria,West Africa,29,Woman,Bachelor's degree,Business/Finance,Igbo,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Never,4.5,llm
AF0153,Senegal,West Africa,18,Man,Secondary school certificate,Government/Civil service,Pulaar,Rural,Broadband/WiFi,WhatsApp/Social media,Sometimes (monthly),3.25,human
AF0154,Kenya,East Africa,34,Woman,Bachelor's degree,Engineer/Technology,English,Urban,Mobile data (4G),Radio,Rarely (a few times a year),1.5,llm
AF0155,Nigeria,West Africa,25,Man,Bachelor's degree,Student,Igbo,Peri-urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),2.75,human
AF0156,Nigeria,West Africa,18,Prefer not to say,Some university/college,Teacher/Educator,Yoruba,Rural,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),4.0,llm
AF0157,Tanzania,East Africa,21,Man,Secondary school certificate,Business/Finance,Swahili,Rural,Mobile data (4G),Television,Rarely (a few times a year),3.5,human
AF0158,Rwanda,East Africa,24,Woman,Secondary school certificate,Farmer/Agriculture,Kinyarwanda,Urban,Mobile data (4G),WhatsApp/Social media,Never,3.0,llm
AF0159,Ethiopia,East Africa,35,Woman,Some university/college,Farmer/Agriculture,English,Rural,No regular internet,Radio,Rarely (a few times a year),3.75,human
AF0160,Kenya,East Africa,22,Woman,Less than secondary school,Informal sector/Trader,Kikuyu,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),2.75,llm
AF0161,Kenya,East Africa,18,Woman,Bachelor's degree,Informal sector/Trader,Swahili,Urban,Mobile data (2G/3G),Online news site,Rarely (a few times a year),2.5,human
AF0162,South Africa,Southern Africa,42,Man,Bachelor's degree,Unemployed/Seeking work,English,Urban,Mobile data (2G/3G),Online news site,Often (weekly),3.75,llm
AF0163,Nigeria,West Africa,24,Man,Bachelor's degree,Self-employed/Entrepreneur,English,Urban,Broadband/WiFi,Radio,Often (weekly),2.0,human
AF0164,Uganda,East Africa,45,Man,Master's degree,Farmer/Agriculture,Luganda,Peri-urban,No regular internet,Radio,Often (weekly),3.5,llm
AF0165,Senegal,West Africa,20,Man,Some university/college,Business/Finance,French,Rural,No regular internet,Radio,Sometimes (monthly),2.25,human
AF0166,Ghana,West Africa,38,Man,Master's degree,Informal sector/Trader,Twi (Akan),Peri-urban,No regular internet,Online news site,Daily,2.75,llm
AF0167,Kenya,East Africa,34,Man,Secondary school certificate,Business/Finance,English,Urban,Mobile data (4G),Radio,Sometimes (monthly),3.0,human
AF0168,Rwanda,East Africa,31,Woman,Bachelor's degree,Healthcare worker,Swahili,Peri-urban,Mobile data (4G),Radio,Sometimes (monthly),3.0,llm
AF0169,Tanzania,East Africa,30,Man,Master's degree,Informal sector/Trader,Swahili,Urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),2.5,human
AF0170,Nigeria,West Africa,24,Man,Some university/college,Farmer/Agriculture,Hausa,Urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),2.5,llm
AF0171,Kenya,East Africa,32,Man,Master's degree,Business/Finance,Swahili,Rural,Mobile data (2G/3G),Radio,Never,2.5,human
AF0172,Ghana,West Africa,23,Man,Some university/college,Farmer/Agriculture,English,Urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),3.75,llm
AF0173,South Africa,Southern Africa,26,Woman,Master's degree,Government/Civil service,English,Urban,No regular internet,Online news site,Rarely (a few times a year),2.5,human
AF0174,South Africa,Southern Africa,23,Man,Secondary school certificate,Engineer/Technology,Afrikaans,Rural,Mobile data (4G),Social media,Often (weekly),3.0,llm
AF0175,South Africa,Southern Africa,33,Woman,Master's degree,Engineer/Technology,Xhosa,Urban,Mobile data (4G),Social media,Rarely (a few times a year),3.0,human
AF0176,Nigeria,West Africa,18,Woman,Secondary school certificate,Engineer/Technology,Hausa,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),3.5,llm
